Key,HueName,HuePrefix,HueNumber,Value,Chroma,R,G,B
2.5R-1-2,2.5R,R,2.5,1,2,45,21,31
2.5R-1-4,2.5R,R,2.5,1,4,54,14,33
2.5R-1-6,2.5R,R,2.5,1,6,62,3,34
2.5R-1-8,2.5R,R,2.5,1,8,70,0,36
2.5R-1-10,2.5R,R,2.5,1,10,78,0,38
2.5R-2-2,2.5R,R,2.5,2,2,66,43,50
2.5R-2-4,2.5R,R,2.5,2,4,77,36,49
2.5R-2-6,2.5R,R,2.5,2,6,87,28,49
2.5R-2-8,2.5R,R,2.5,2,8,98,14,49
2.5R-2-10,2.5R,R,2.5,2,10,107,0,49
2.5R-2-12,2.5R,R,2.5,2,12,117,0,50
2.5R-2-14,2.5R,R,2.5,2,14,127,0,51
2.5R-3-2,2.5R,R,2.5,3,2,92,65,71
2.5R-3-4,2.5R,R,2.5,3,4,106,58,67
2.5R-3-6,2.5R,R,2.5,3,6,117,50,64
2.5R-3-8,2.5R,R,2.5,3,8,129,39,61
2.5R-3-10,2.5R,R,2.5,3,10,140,21,58
2.5R-3-12,2.5R,R,2.5,3,12,151,0,56
2.5R-3-14,2.5R,R,2.5,3,14,160,0,54
2.5R-3-16,2.5R,R,2.5,3,16,170,0,53
2.5R-4-2,2.5R,R,2.5,4,2,116,90,96
2.5R-4-4,2.5R,R,2.5,4,4,131,83,92
2.5R-4-6,2.5R,R,2.5,4,6,144,76,88
2.5R-4-8,2.5R,R,2.5,4,8,156,68,84
2.5R-4-10,2.5R,R,2.5,4,10,167,57,81
2.5R-4-12,2.5R,R,2.5,4,12,178,44,78
2.5R-4-14,2.5R,R,2.5,4,14,189,18,75
2.5R-4-16,2.5R,R,2.5,4,16,199,0,72
2.5R-4-18,2.5R,R,2.5,4,18,210,0,70
2.5R-5-2,2.5R,R,2.5,5,2,141,116,123
2.5R-5-4,2.5R,R,2.5,5,4,156,109,118
2.5R-5-6,2.5R,R,2.5,5,6,171,102,113
2.5R-5-8,2.5R,R,2.5,5,8,184,95,108
2.5R-5-10,2.5R,R,2.5,5,10,197,86,104
2.5R-5-12,2.5R,R,2.5,5,12,209,74,100
2.5R-5-14,2.5R,R,2.5,5,14,219,62,97
2.5R-5-16,2.5R,R,2.5,5,16,231,42,93
2.5R-5-18,2.5R,R,2.5,5,18,242,0,90
2.5R-5-20,2.5R,R,2.5,5,20,253,0,88
2.5R-6-2,2.5R,R,2.5,6,2,167,141,150
2.5R-6-4,2.5R,R,2.5,6,4,183,135,145
2.5R-6-6,2.5R,R,2.5,6,6,198,129,139
2.5R-6-8,2.5R,R,2.5,6,8,211,122,134
2.5R-6-10,2.5R,R,2.5,6,10,224,114,129
2.5R-6-12,2.5R,R,2.5,6,12,237,104,124
2.5R-6-14,2.5R,R,2.5,6,14,249,94,120
2.5R-6-16,2.5R,R,2.5,6,16,255,79,116
2.5R-6-18,2.5R,R,2.5,6,18,255,62,112
2.5R-7-2,2.5R,R,2.5,7,2,193,167,177
2.5R-7-4,2.5R,R,2.5,7,4,209,162,171
2.5R-7-6,2.5R,R,2.5,7,6,225,155,165
2.5R-7-8,2.5R,R,2.5,7,8,240,148,160
2.5R-7-10,2.5R,R,2.5,7,10,254,140,154
2.5R-7-12,2.5R,R,2.5,7,12,255,130,148
2.5R-7-14,2.5R,R,2.5,7,14,255,120,144
2.5R-7-16,2.5R,R,2.5,7,16,255,107,139
2.5R-8-2,2.5R,R,2.5,8,2,218,194,205
2.5R-8-4,2.5R,R,2.5,8,4,237,188,198
2.5R-8-6,2.5R,R,2.5,8,6,254,181,192
2.5R-8-8,2.5R,R,2.5,8,8,255,173,185
2.5R-8-10,2.5R,R,2.5,8,10,255,165,179
2.5R-9-2,2.5R,R,2.5,9,2,245,221,233
2.5R-9-4,2.5R,R,2.5,9,4,255,214,225
2.5R-9-6,2.5R,R,2.5,9,6,255,206,218
5.0R-1-2,5.0R,R,5.0,1,2,46,21,29
5.0R-1-4,5.0R,R,5.0,1,4,55,14,29
5.0R-1-6,5.0R,R,5.0,1,6,64,2,29
5.0R-1-8,5.0R,R,5.0,1,8,72,0,29
5.0R-1-10,5.0R,R,5.0,1,10,79,0,30
5.0R-2-2,5.0R,R,5.0,2,2,67,43,48
5.0R-2-4,5.0R,R,5.0,2,4,78,36,45
5.0R-2-6,5.0R,R,5.0,2,6,88,28,42
5.0R-2-8,5.0R,R,5.0,2,8,99,13,40
5.0R-2-10,5.0R,R,5.0,2,10,109,0,39
5.0R-2-12,5.0R,R,5.0,2,12,118,0,38
5.0R-2-14,5.0R,R,5.0,2,14,129,0,37
5.0R-3-2,5.0R,R,5.0,3,2,92,65,69
5.0R-3-4,5.0R,R,5.0,3,4,107,58,62
5.0R-3-6,5.0R,R,5.0,3,6,118,51,57
5.0R-3-8,5.0R,R,5.0,3,8,130,40,51
5.0R-3-10,5.0R,R,5.0,3,10,141,23,46
5.0R-3-12,5.0R,R,5.0,3,12,151,0,42
5.0R-3-14,5.0R,R,5.0,3,14,160,0,38
5.0R-3-16,5.0R,R,5.0,3,16,170,0,35
5.0R-4-2,5.0R,R,5.0,4,2,117,90,94
5.0R-4-4,5.0R,R,5.0,4,4,132,83,87
5.0R-4-6,5.0R,R,5.0,4,6,145,76,80
5.0R-4-8,5.0R,R,5.0,4,8,157,68,74
5.0R-4-10,5.0R,R,5.0,4,10,168,58,67
5.0R-4-12,5.0R,R,5.0,4,12,178,46,61
5.0R-4-14,5.0R,R,5.0,4,14,189,24,55
5.0R-4-16,5.0R,R,5.0,4,16,199,0,49
5.0R-4-18,5.0R,R,5.0,4,18,209,0,44
5.0R-5-2,5.0R,R,5.0,5,2,141,116,121
5.0R-5-4,5.0R,R,5.0,5,4,158,109,114
5.0R-5-6,5.0R,R,5.0,5,6,172,103,106
